magnitudeTimesScarcity_by_prior_holidays_pow_2,magnitudeTimesScarcity_by_prior_holidays_pow_3,magnitudeTimesScarcity_by_prior_holidays_pow_4,magnitudeTimesScarcity_by_prior_holidays_pow_5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
861.4862500000002,25285.55702067521,742158.5589390629,21783159.696902663
859.2756250000001,25188.29311694799,738354.5997191407,21643686.310748685
888.2487500000001,26472.923673341305,788985.8418765626,23514541.361690823
900.0274999999999,27001.237509453073,810049.5007562498,24301856.292539272
900.756875,27034.066534743724,811362.9478597657,24351121.29037784
891.0537499999999,26598.4208560183,793976.7853890625,23700622.647833314
880.61125,26132.22230508734,775476.1736265625,23012328.949360844
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
757.7662499999999,20859.45165222365,574209.6896390623,15806588.455561817
766.6081250000001,21225.607389179666,587688.0173160158,16271723.082605172
771.47875,21428.212877867216,595179.4617015625,16531410.885750903
781.2275,21835.65800838546,610316.4067562498,17058616.51674595
781.27625,21837.701916723752,610392.5788140625,17061277.862115745
777.0475,21660.643333980777,603802.81725625,16831348.75106143
785.4075000000001,22011.14152406996,616864.9410562502,17287715.63656598
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
